channel,subject,condition,fs,fooof_theta_theta_peak_freq
Fp1-Ref,Subj_01,Task_A,250.0,6.0
Fp2-Ref,Subj_01,Task_A,250.0,6.0
F7-Ref,Subj_01,Task_A,250.0,6.0
F3-Ref,Subj_01,Task_A,250.0,5.618856940359944
Fz-Ref,Subj_01,Task_A,250.0,7.501984309668477
F4-Ref,Subj_01,Task_A,250.0,6.0
F8-Ref,Subj_01,Task_A,250.0,4.274325465904221
T3-Ref,Subj_01,Task_A,250.0,6.0
C3-Ref,Subj_01,Task_A,250.0,6.155641071705851
Cz-Ref,Subj_01,Task_A,250.0,5.780582052443004
C4-Ref,Subj_01,Task_A,250.0,6.750000000000105
T4-Ref,Subj_01,Task_A,250.0,6.0
T5-Ref,Subj_01,Task_A,250.0,7.9281056487822985
P3-Ref,Subj_01,Task_A,250.0,6.0
Pz-Ref,Subj_01,Task_A,250.0,7.934183537164685
P4-Ref,Subj_01,Task_A,250.0,7.492829548336958
T6-Ref,Subj_01,Task_A,250.0,6.0
O1-Ref,Subj_01,Task_A,250.0,6.0
O2-Ref,Subj_01,Task_A,250.0,6.0
ECG,Subj_01,Task_A,250.0,7.502112180906061
LABEL,Subj_01,Task_A,250.0,6.0
